Year,Country name,Country iso,Occurrence,Total deaths,Affected,Injured,Homeless,Total affected,Total damage ('000 $)
1992,Viet Nam,VNM,2,31,76125,23,3210,79358,18400
1993,Bangladesh,BGD,2,64,7500,500,2000,10000,0
1993,China P Rep,CHN,7,75,8474000,771,0,8474771,1232130
1993,Fiji,FJI,1,21,150000,3,10000,160003,100000
1993,Guinea Bissau,GNB,1,0,1722,0,0,1722,0
1993,Hong Kong (China),HKG,4,7,831,296,59,1186,6920
1993,India,IND,2,186,12000,500,60000,72500,100000
1993,Japan,JPN,2,95,30255,208,0,30463,1750000
1993,Korea Dem P Rep,PRK,1,6,2500,0,0,2500,110000
1993,Macau,MAC,3,0,1200,4,1153,2357,0
1993,Martinique,MTQ,1,2,0,10,3000,3010,0
1993,Mexico,MEX,4,38,54000,0,23000,77000,1670000
1993,Nicaragua,NIC,1,37,123000,0,0,123000,0
1993,Norway,NOR,1,0,0,0,0,0,3000
1993,Pakistan,PAK,1,609,0,0,0,0,0
1993,Papua New Guinea,PNG,1,15,25000,40,15000,40040,1500
1993,Philippines,PHL,5,490,3331639,566,179122,3511327,257442
1993,Reunion,REU,1,14,0,0,0,0,0
1993,Solomon Is,SLB,1,4,88500,0,0,88500,0
1993,Trinidad and Tobago,TTO,1,0,0,0,0,0,57
1993,Tuvalu,TUV,1,0,0,0,150,150,0
1993,United States,USA,3,4,0,60,0,60,0
1993,Vanuatu,VUT,1,4,5000,5,7000,12005,6000
1993,Venezuela,VEN,1,100,0,400,5500,5900,4500
1993,Viet Nam,VNM,2,203,26520,36,10185,36741,65000
1994,Australia,AUS,1,22,0,0,0,0,0
1994,Bangladesh,BGD,2,170,450000,3709,200000,653709,127500
1994,Bhutan,BTN,1,17,65000,0,0,65000,0
1994,China P Rep,CHN,4,1385,23465000,3168,693000,24161168,1947000
1994,Cuba,CUB,1,2,67738,0,42820,110558,101968
1994,India,IND,1,208,428500,0,0,428500,19100
1994,Japan,JPN,2,3,0,7,0,7,6000
1994,Korea Rep,KOR,1,28,0,2,86,88,11
1994,Madagascar,MDG,3,212,500000,51,40000,540051,10200
1994,Mauritius,MUS,1,2,800,0,1500,2300,135400
